count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
11,0,10,,,232,,{},1799,,AUCA (UPSID 232),2547,,http://web.phonetik.uni-frankfurt.de/L/L6818.html
10,0,7,,,1169,,{},1734,,Au (PH 1169),1172,,
11,3,6,,,57,,{},1946,,Auyana (SPA 57),3011,,https://archive.org/details/auy_SPA1979_phon
12,0,12,,,2075,,{},755,,Avá-Canoeiro (SAPHON 2075),2661,,http://linguistics.berkeley.edu/~saphon/en/inv/AvaCanoeiro.html
59,0,5,,,2467,,{},764,,Avar (Chadakolob) (EA 2467),2757,,http://eurphon.info/languages/html?lang_id=55
44,0,5,,,233,,{},764,,AVAR (UPSID 233),407,,http://web.phonetik.uni-frankfurt.de/L/L2606.html
28,4,18,,,1296,,{},2154,,Avatime (GM 1296),2174,,
25,3,6,,,1358,,{},2121,,Avikam (GM 1358),2044,,
37,4,14,,,660,,{},1575,,avokaya (AA 660),2981,,https://archive.org/details/rosettaproject_avu_ortho-1
13,0,3,,,2987,,{},1110,,Awabakal (ER 2987),2025,,
16,0,10,,,1853,,{},253,,Awa-Cuaiquer (SAPHON 1853),1676,,http://linguistics.berkeley.edu/~saphon/en/inv/AwaCuaiquer.html
37,0,8,,,1707,,{},1368,,Awadhi (RA 1707),2513,,
14,0,7,,,1120,,{},253,,Awa Pit (PH 1120),2139,,
19,0,6,,,1175,,{},1176,,Awara (PH 1175),21,,
17,0,10,,,1923,,{},1308,,Aʔɨwa (SAPHON 1923),376,,http://linguistics.berkeley.edu/~saphon/en/inv/Aiwa.html
14,0,12,,,2076,,{},1479,,Awetí (SAPHON 2076),2410,,http://linguistics.berkeley.edu/~saphon/en/inv/Aweti.html
39,0,17,,,1176,,{},581,,Awing (PH 1176),476,,
28,4,7,,,128,,{},75,,Awiya (SPA 128),790,,https://archive.org/details/awn_SPA1979_phon
28,0,7,,,234,,{},75,,AWIYA (UPSID 234),1956,,http://web.phonetik.uni-frankfurt.de/L/L4359.html
30,3,6,,,1542,,{},75,,Awngi (GM 1542),1555,,
11,0,7,,,1177,,{},1522,,Awtuw (PH 1177),1467,,
23,0,8,,,2881,,{},1264,,Awu Alaya (ER 2881),211,,
